,tweet_created_at,id_str,entity_user_mentions,con_id_str_list,con_id_str_list1,con_id_str_list2,full_conversation_ids,airline_contain_con,airline_contain_con_time,airline_reply_time,56377143
50,2019-05-25 04:29:57,1.1321417299629711e+18,"('KLM', '56377143')",['1.1321417299629711e+18'],['1.1321441893435228e+18'],[],"['1.1321417299629711e+18', '1.1321441893435228e+18']",['1.1321441893435228e+18'],['2019-05-25 04:39:43'],2019-05-25 04:39:43,9.766666666666667
52,2019-05-25 06:46:03,1.1321759822013644e+18,"('KLM', '56377143')",['1.1321759822013645e+18'],['1.1321767768667382e+18'],[],"['1.1321759822013645e+18', '1.1321767768667382e+18']",['1.1321767768667382e+18'],['2019-05-25 06:49:13'],2019-05-25 06:49:13,3.1666666666666665
55,2019-05-25 09:06:23,1.1322112990547558e+18,"('KLM', '56377143'),('CardiffAirport', '1308828169')",['1.1322112990547558e+18'],['1.1322132289085358e+18'],[],"['1.1322112990547558e+18', '1.1322132289085358e+18']",['1.1322132289085358e+18'],['2019-05-25 09:14:03'],2019-05-25 09:14:03,7.666666666666668
57,2019-05-25 09:51:51,1.132222738926637e+18,"('KLM', '56377143')",['1.132222738926637e+18'],['1.1322251942596362e+18'],[],"['1.132222738926637e+18', '1.1322251942596362e+18']",['1.1322251942596362e+18'],['2019-05-25 10:01:36'],2019-05-25 10:01:36,9.75
59,2019-05-25 10:49:30,1.1322372461978952e+18,"('Delta', '5920532'),('KLM', '56377143')",['1.1322372461978952e+18'],['1.132239465907458e+18'],[],"['1.1322372461978952e+18', '1.132239465907458e+18']",['1.132239465907458e+18'],['2019-05-25 10:58:19'],2019-05-25 10:58:19,8.816666666666666
60,2019-05-25 11:00:56,1.132240124555735e+18,"('KLM', '56377143')",['1.132240124555735e+18'],['1.1322415159364076e+18'],[],"['1.132240124555735e+18', '1.1322415159364076e+18']",['1.1322415159364076e+18'],['2019-05-25 11:06:28'],2019-05-25 11:06:28,5.533333333333333
63,2019-05-25 13:48:06,1.1322821948803236e+18,"('KLM', '56377143')",['1.1322821948803236e+18'],['1.1322838550067814e+18'],[],"['1.1322821948803236e+18', '1.1322838550067814e+18']",['1.1322838550067814e+18'],['2019-05-25 13:54:42'],2019-05-25 13:54:42,6.6
65,2019-05-25 16:36:50,1.1323246564244111e+18,"('KLM', '56377143')",['1.1323246564244111e+18'],['1.132330049355604e+18'],[],"['1.1323246564244111e+18', '1.132330049355604e+18']",['1.132330049355604e+18'],['2019-05-25 16:58:16'],2019-05-25 16:58:16,21.433333333333334
67,2019-05-25 20:19:19,1.1323806464149792e+18,"('KLM', '56377143')",['1.1323806464149791e+18'],['1.1323830912538092e+18'],[],"['1.1323806464149791e+18', '1.1323830912538092e+18']",['1.1323830912538092e+18'],['2019-05-25 20:29:02'],2019-05-25 20:29:02,9.716666666666667
71,2019-05-26 08:28:41,1.1325641997737452e+18,"('KLM', '56377143')",['1.1325641997737452e+18'],"['1.132566281192919e+18', '1.1325663833955942e+18']",[],"['1.1325641997737452e+18', '1.132566281192919e+18', '1.1325663833955942e+18']","['1.132566281192919e+18', '1.1325663833955942e+18']","['2019-05-26 08:36:58', '2019-05-26 08:37:22']",2019-05-26 08:36:58,8.283333333333335
73,2019-05-26 10:19:48,1.1325921619695862e+18,"('NASA', '11348282'),('SpacelifeOrigin', '1002464052067622912'),('KLM', '56377143')",['1.1325921619695862e+18'],['1.1325951547942912e+18'],[],"['1.1325921619695862e+18', '1.1325951547942912e+18']",['1.1325951547942912e+18'],['2019-05-26 10:31:42'],2019-05-26 10:31:42,11.9
74,2019-05-26 10:45:16,1.1325985710339318e+18,"('KLM', '56377143')",['1.1325985710339318e+18'],['1.1326030481808138e+18'],[],"['1.1325985710339318e+18', '1.1326030481808138e+18']",['1.1326030481808138e+18'],['2019-05-26 11:03:04'],2019-05-26 11:03:04,17.8
77,2019-05-26 12:55:18,1.1326312958617231e+18,"('KLM', '56377143'),('KLMIndia', '182754120')",['1.1326312958617231e+18'],['1.1326332763451924e+18'],[],"['1.1326312958617231e+18', '1.1326332763451924e+18']",['1.1326332763451924e+18'],['2019-05-26 13:03:11'],2019-05-26 13:03:11,7.883333333333335
80,2019-05-26 14:12:28,1.1326507154894602e+18,"('KLM', '56377143'),('transavia', '19199075')",['1.1326507154894602e+18'],['1.1326520163864207e+18'],[],"['1.1326507154894602e+18', '1.1326520163864207e+18']",['1.1326520163864207e+18'],['2019-05-26 14:17:39'],2019-05-26 14:17:39,5.183333333333334
85,2019-05-26 20:15:14,1.1327420077078324e+18,"('KLM', '56377143')",['1.1327420077078323e+18'],"['1.1327433178113352e+18', '1.1327433788133007e+18']",[],"['1.1327420077078323e+18', '1.1327433178113352e+18', '1.1327433788133007e+18']","['1.1327433788133007e+18', '1.1327433178113352e+18']","['2019-05-26 20:20:41', '2019-05-26 20:20:26']",2019-05-26 20:20:41,5.45
91,2019-05-27 01:32:01,1.1328217280511304e+18,"('KLM', '56377143')",['1.1328217280511304e+18'],['1.1328272249131418e+18'],[],"['1.1328217280511304e+18', '1.1328272249131418e+18']",['1.1328272249131418e+18'],['2019-05-27 01:53:51'],2019-05-27 01:53:51,21.833333333333332
92,2019-05-27 03:20:32,1.1328490388087604e+18,"('KLM', '56377143')",['1.1328490388087603e+18'],['1.1328545131179254e+18'],[],"['1.1328490388087603e+18', '1.1328545131179254e+18']",['1.1328545131179254e+18'],['2019-05-27 03:42:18'],2019-05-27 03:42:18,21.766666666666666
98,2019-05-27 06:06:54,1.1328909048118232e+18,"('KLM', '56377143'),('KLM_UK', '19401532')",['1.1328909048118231e+18'],['1.132891915945431e+18'],[],"['1.1328909048118231e+18', '1.132891915945431e+18']",['1.132891915945431e+18'],['2019-05-27 06:10:55'],2019-05-27 06:10:55,4.0166666666666675
102,2019-05-27 08:57:29,1.1329338344110572e+18,"('KLM', '56377143')",['1.1329338344110572e+18'],"['1.1329384928190054e+18', '1.1329385624527667e+18', '1.1329385930376192e+18']",[],"['1.1329338344110572e+18', '1.1329384928190054e+18', '1.1329385624527667e+18', '1.1329385930376192e+18']","['1.1329385930376192e+18', '1.1329384928190054e+18']","['2019-05-27 09:16:24', '2019-05-27 09:16:00']",2019-05-27 09:16:24,18.916666666666668
107,2019-05-27 12:09:26,1.1329821406674084e+18,"('KLM', '56377143')",['1.1329821406674084e+18'],['1.1329865125749514e+18'],[],"['1.1329821406674084e+18', '1.1329865125749514e+18']",['1.1329865125749514e+18'],['2019-05-27 12:26:49'],2019-05-27 12:26:49,17.383333333333333
114,2019-05-27 17:31:11,1.1330631088581386e+18,"('KLM', '56377143')",['1.1330631088581386e+18'],['1.1330637596505252e+18'],[],"['1.1330631088581386e+18', '1.1330637596505252e+18']",['1.1330637596505252e+18'],['2019-05-27 17:33:46'],2019-05-27 17:33:46,2.5833333333333335
117,2019-05-27 18:25:59,1.1330768997464516e+18,"('Vegas', '18918698'),('KLM', '56377143'),('KLM', '56377143'),('uspmarketingpr', '27843953')",['1.1330768997464515e+18'],['1.1330782256666952e+18'],[],"['1.1330768997464515e+18', '1.1330782256666952e+18']",['1.1330782256666952e+18'],['2019-05-27 18:31:15'],2019-05-27 18:31:15,5.266666666666667
123,2019-05-28 03:57:09,1.133220641140818e+18,"('KLM', '56377143')",['1.1332206411408179e+18'],"['1.1332235727244902e+18', '1.1332236188618342e+18']",[],"['1.1332206411408179e+18', '1.1332235727244902e+18', '1.1332236188618342e+18']","['1.1332236188618342e+18', '1.1332235727244902e+18']","['2019-05-28 04:08:59', '2019-05-28 04:08:48']",2019-05-28 04:08:59,11.833333333333334
124,2019-05-28 05:04:29,1.1332375869929924e+18,"('KLM', '56377143')",['1.1332375869929923e+18'],['1.1332393389747569e+18'],[],"['1.1332375869929923e+18', '1.1332393389747569e+18']",['1.1332393389747569e+18'],['2019-05-28 05:11:27'],2019-05-28 05:11:27,6.966666666666667
125,2019-05-28 05:48:36,1.1332486892906004e+18,"('KLM', '56377143')",['1.1332486892906004e+18'],['1.1332529175768392e+18'],[],"['1.1332486892906004e+18', '1.1332529175768392e+18']",['1.1332529175768392e+18'],['2019-05-28 06:05:25'],2019-05-28 06:05:25,16.81666666666667
131,2019-05-28 07:31:52,1.1332746755078144e+18,"('KLM', '56377143')",['1.1332746755078144e+18'],['1.1332781761326408e+18'],[],"['1.1332746755078144e+18', '1.1332781761326408e+18']",['1.1332781761326408e+18'],['2019-05-28 07:45:47'],2019-05-28 07:45:47,13.916666666666666
134,2019-05-28 09:24:30,1.1333030225645856e+18,"('KLM', '56377143')",['1.1333030225645855e+18'],['1.1333048277301903e+18'],[],"['1.1333030225645855e+18', '1.1333048277301903e+18']",['1.1333048277301903e+18'],['2019-05-28 09:31:41'],2019-05-28 09:31:41,7.183333333333334
136,2019-05-28 09:43:52,1.1333078947855442e+18,"('KLM', '56377143'),('suzanne_GL', '265380339')",['1.1333078947855442e+18'],['1.13331049985937e+18'],[],"['1.1333078947855442e+18', '1.13331049985937e+18']",['1.13331049985937e+18'],['2019-05-28 09:54:13'],2019-05-28 09:54:13,10.35
144,2019-05-28 16:49:54,1.1334151105532968e+18,"('KLM', '56377143')",['1.1334151105532969e+18'],['1.1334173872298762e+18'],[],"['1.1334151105532969e+18', '1.1334173872298762e+18']",['1.1334173872298762e+18'],['2019-05-28 16:58:57'],2019-05-28 16:58:57,9.05
147,2019-05-28 18:30:35,1.133440447299371e+18,"('KLM', '56377143')",['1.133440447299371e+18'],['1.1334417633880842e+18'],[],"['1.133440447299371e+18', '1.1334417633880842e+18']",['1.1334417633880842e+18'],['2019-05-28 18:35:49'],2019-05-28 18:35:49,5.233333333333333
148,2019-05-28 18:41:31,1.1334431998869094e+18,"('KLM', '56377143'),('thalys_nl', '1563746713')",['1.1334431998869094e+18'],"['1.1334579329501512e+18', '1.1334580344354611e+18']",[],"['1.1334431998869094e+18', '1.1334579329501512e+18', '1.1334580344354611e+18']",['1.1334579329501512e+18'],['2019-05-28 19:40:04'],2019-05-28 19:40:04,58.55
149,2019-05-29 03:45:48,1.1335801727776728e+18,"('KLM', '56377143')",['1.1335801727776727e+18'],['1.1335873432172544e+18'],[],"['1.1335801727776727e+18', '1.1335873432172544e+18']",['1.1335873432172544e+18'],['2019-05-29 04:14:18'],2019-05-29 04:14:18,28.5
150,2019-05-29 04:20:59,1.133589027192492e+18,"('KLM', '56377143')",['1.133589027192492e+18'],['1.133592362851156e+18'],[],"['1.133589027192492e+18', '1.133592362851156e+18']",['1.133592362851156e+18'],['2019-05-29 04:34:15'],2019-05-29 04:34:15,13.266666666666667
151,2019-05-29 04:44:10,1.1335948609660764e+18,"('KLM', '56377143')",['1.1335948609660764e+18'],['1.1335984520662671e+18'],[],"['1.1335948609660764e+18', '1.1335984520662671e+18']",['1.1335984520662671e+18'],['2019-05-29 04:58:26'],2019-05-29 04:58:26,14.266666666666667
154,2019-05-29 06:26:43,1.1336206686863196e+18,"('KLM', '56377143')",['1.1336206686863196e+18'],['1.1336254275813908e+18'],[],"['1.1336206686863196e+18', '1.1336254275813908e+18']",['1.1336254275813908e+18'],['2019-05-29 06:45:38'],2019-05-29 06:45:38,18.916666666666668
161,2019-05-29 12:57:27,1.1337190004987452e+18,"('KLM', '56377143')",['1.1337190004987453e+18'],['1.1337222845549568e+18'],[],"['1.1337190004987453e+18', '1.1337222845549568e+18']",['1.1337222845549568e+18'],['2019-05-29 13:10:30'],2019-05-29 13:10:30,13.05
162,2019-05-29 16:11:09,1.133767743369429e+18,"('KLM', '56377143')",['1.133767743369429e+18'],"['1.133771281801896e+18', '1.133771353713193e+18']",[],"['1.133767743369429e+18', '1.133771281801896e+18', '1.133771353713193e+18']","['1.133771353713193e+18', '1.133771281801896e+18']","['2019-05-29 16:25:29', '2019-05-29 16:25:12']",2019-05-29 16:25:29,14.333333333333334
167,2019-05-29 17:29:19,1.133787415519404e+18,"('KLM', '56377143')",['1.133787415519404e+18'],['1.1337896380475228e+18'],[],"['1.133787415519404e+18', '1.1337896380475228e+18']",['1.1337896380475228e+18'],['2019-05-29 17:38:09'],2019-05-29 17:38:09,8.833333333333334
168,2019-05-29 17:46:45,1.1337918020148184e+18,"('KLM', '56377143')",['1.1337918020148183e+18'],['1.1337971219399762e+18'],[],"['1.1337918020148183e+18', '1.1337971219399762e+18']",['1.1337971219399762e+18'],['2019-05-29 18:07:53'],2019-05-29 18:07:53,21.133333333333333
173,2019-05-29 20:27:14,1.1338321901255968e+18,"('KLM', '56377143')",['1.1338321901255967e+18'],"['1.1338335040416358e+18', '1.1338336598474465e+18', '1.133833762926678e+18', '1.1338338135854653e+18', '1.1338339515151524e+18', '1.1338340080712212e+18']",[],"['1.1338321901255967e+18', '1.1338335040416358e+18', '1.1338336598474465e+18', '1.133833762926678e+18', '1.1338338135854653e+18', '1.1338339515151524e+18', '1.1338340080712212e+18']","['1.1338335040416358e+18', '1.1338340080712212e+18', '1.133833762926678e+18', '1.1338339515151524e+18']","['2019-05-29 20:32:27', '2019-05-29 20:34:27', '2019-05-29 20:33:29', '2019-05-29 20:34:14']",2019-05-29 20:32:27,5.216666666666667
176,2019-05-30 06:08:00,1.1339783442052792e+18,"('KLM', '56377143')",['1.1339783442052792e+18'],['1.1339820088274248e+18'],[],"['1.1339783442052792e+18', '1.1339820088274248e+18']",['1.1339820088274248e+18'],['2019-05-30 06:22:33'],2019-05-30 06:22:33,14.55
178,2019-05-30 07:57:21,1.1340058633442016e+18,"('KLM', '56377143')",['1.1340058633442017e+18'],['1.134012943648088e+18'],[],"['1.1340058633442017e+18', '1.134012943648088e+18']",['1.134012943648088e+18'],['2019-05-30 08:25:29'],2019-05-30 08:25:29,28.133333333333333
180,2019-05-30 11:17:09,1.1340561463382426e+18,"('KLM', '56377143')",['1.1340561463382426e+18'],['1.1340577258376806e+18'],[],"['1.1340561463382426e+18', '1.1340577258376806e+18']",['1.1340577258376806e+18'],['2019-05-30 11:23:26'],2019-05-30 11:23:26,6.283333333333333
183,2019-05-30 12:02:49,1.1340676383075574e+18,"('KLM', '56377143')",['1.1340676383075574e+18'],['1.134073230447272e+18'],[],"['1.1340676383075574e+18', '1.134073230447272e+18']",['1.134073230447272e+18'],['2019-05-30 12:25:02'],2019-05-30 12:25:02,22.216666666666665
185,2019-05-30 14:29:39,1.1341045900965028e+18,"('KLM', '56377143'),('AirFranceKLM', '3044797241')",['1.1341045900965028e+18'],['1.1341063125335122e+18'],[],"['1.1341045900965028e+18', '1.1341063125335122e+18']",['1.1341063125335122e+18'],['2019-05-30 14:36:30'],2019-05-30 14:36:30,6.85
187,2019-05-30 16:04:19,1.1341284122164306e+18,"('KLM', '56377143')",['1.1341284122164306e+18'],['1.1341322582757704e+18'],[],"['1.1341284122164306e+18', '1.1341322582757704e+18']",['1.1341322582757704e+18'],['2019-05-30 16:19:36'],2019-05-30 16:19:36,15.283333333333335
188,2019-05-30 16:58:22,1.1341420145246577e+18,"('KLM', '56377143')",['1.1341420145246577e+18'],['1.134225390074028e+18'],[],"['1.1341420145246577e+18', '1.134225390074028e+18']",['1.134225390074028e+18'],['2019-05-30 22:29:40'],2019-05-30 22:29:40,331.3
194,2019-05-30 19:55:14,1.1341865261564764e+18,"('KLM', '56377143')",['1.1341865261564764e+18'],['1.1341895365719982e+18'],[],"['1.1341865261564764e+18', '1.1341895365719982e+18']",['1.1341895365719982e+18'],['2019-05-30 20:07:12'],2019-05-30 20:07:12,11.966666666666667
202,2019-05-31 07:59:33,1.1343688045517578e+18,"('KLM', '56377143')",['1.1343688045517578e+18'],"['1.1343713882891633e+18', '1.1343715392673341e+18']",[],"['1.1343688045517578e+18', '1.1343713882891633e+18', '1.1343715392673341e+18']",['1.1343713882891633e+18'],['2019-05-31 08:09:49'],2019-05-31 08:09:49,10.266666666666667
204,2019-05-31 10:43:35,1.134410086955344e+18,"('KLM', '56377143')",['1.1344100869553439e+18'],['1.1344126890007962e+18'],[],"['1.1344100869553439e+18', '1.1344126890007962e+18']",['1.1344126890007962e+18'],['2019-05-31 10:53:56'],2019-05-31 10:53:56,10.35
207,2019-05-31 12:54:29,1.1344430288595764e+18,"('KLM', '56377143')",['1.1344430288595763e+18'],['1.1344458711716086e+18'],[],"['1.1344430288595763e+18', '1.1344458711716086e+18']",['1.1344458711716086e+18'],['2019-05-31 13:05:47'],2019-05-31 13:05:47,11.3
211,2019-05-31 14:22:28,1.1344651715257056e+18,"('KLM', '56377143')",['1.1344651715257057e+18'],['1.1344715873973494e+18'],[],"['1.1344651715257057e+18', '1.1344715873973494e+18']",['1.1344715873973494e+18'],['2019-05-31 14:47:58'],2019-05-31 14:47:58,25.5
212,2019-05-31 14:46:37,1.134471246517887e+18,"('KLM', '56377143')",['1.134471246517887e+18'],['1.1344775515423744e+18'],[],"['1.134471246517887e+18', '1.1344775515423744e+18']",['1.1344775515423744e+18'],['2019-05-31 15:11:40'],2019-05-31 15:11:40,25.05
216,2019-05-31 17:12:27,1.1345079464303862e+18,"('KLM', '56377143')",['1.1345079464303862e+18'],"['1.1345090459629363e+18', '1.134509096961364e+18']",[],"['1.1345079464303862e+18', '1.1345090459629363e+18', '1.134509096961364e+18']",['1.134509096961364e+18'],['2019-05-31 17:17:01'],2019-05-31 17:17:01,4.566666666666666
217,2019-05-31 17:52:58,1.1345181445618116e+18,"('KLM', '56377143')",['1.1345181445618115e+18'],['1.1345204765737984e+18'],[],"['1.1345181445618115e+18', '1.1345204765737984e+18']",['1.1345204765737984e+18'],['2019-05-31 18:02:14'],2019-05-31 18:02:14,9.266666666666667
220,2019-05-31 20:06:38,1.1345517822297212e+18,"('KLM', '56377143')",['1.1345517822297211e+18'],['1.1345535245730202e+18'],[],"['1.1345517822297211e+18', '1.1345535245730202e+18']",['1.1345535245730202e+18'],['2019-05-31 20:13:33'],2019-05-31 20:13:33,6.916666666666667
222,2019-05-31 21:07:07,1.134567003174396e+18,"('KLM', '56377143')",['1.1345670031743959e+18'],"['1.1345678612577444e+18', '1.134567903271895e+18']",[],"['1.1345670031743959e+18', '1.1345678612577444e+18', '1.134567903271895e+18']","['1.1345678612577444e+18', '1.134567903271895e+18']","['2019-05-31 21:10:32', '2019-05-31 21:10:42']",2019-05-31 21:10:32,3.4166666666666665
226,2019-06-01 05:59:51,1.134701068204544e+18,"('KLM', '56377143')",['1.134701068204544e+18'],['1.1347045763959808e+18'],[],"['1.134701068204544e+18', '1.1347045763959808e+18']",['1.1347045763959808e+18'],['2019-06-01 06:13:47'],2019-06-01 06:13:47,13.933333333333334
231,2019-06-01 10:30:31,1.134769186113237e+18,"('KLM', '56377143')",['1.134769186113237e+18'],['1.134774763040256e+18'],[],"['1.134769186113237e+18', '1.134774763040256e+18']",['1.134774763040256e+18'],['2019-06-01 10:52:41'],2019-06-01 10:52:41,22.166666666666668
237,2019-06-01 16:22:24,1.1348577411792608e+18,"('KLM', '56377143')",['1.1348577411792609e+18'],['1.134860244503466e+18'],[],"['1.1348577411792609e+18', '1.134860244503466e+18']",['1.134860244503466e+18'],['2019-06-01 16:32:21'],2019-06-01 16:32:21,9.95
240,2019-06-01 19:22:13,1.1349029903206031e+18,"('KLM', '56377143')",['1.1349029903206031e+18'],['1.1349079229353615e+18'],[],"['1.1349029903206031e+18', '1.1349079229353615e+18']",['1.1349079229353615e+18'],['2019-06-01 19:41:49'],2019-06-01 19:41:49,19.6
244,2019-06-02 03:42:03,1.1350287799553106e+18,"('KLM', '56377143')",['1.1350287799553106e+18'],['1.1350356693933466e+18'],[],"['1.1350287799553106e+18', '1.1350356693933466e+18']",['1.1350356693933466e+18'],['2019-06-02 04:09:26'],2019-06-02 04:09:26,27.383333333333333
251,2019-06-02 07:26:07,1.1350851666307892e+18,"('Delta', '5920532'),('KLM', '56377143')",['1.1350851666307891e+18'],['1.1350883230290862e+18'],[],"['1.1350851666307891e+18', '1.1350883230290862e+18']",['1.1350883230290862e+18'],['2019-06-02 07:38:39'],2019-06-02 07:38:39,12.533333333333333
252,2019-06-02 07:31:51,1.135086609798488e+18,"('Delta', '5920532'),('KLM', '56377143')",['1.135086609798488e+18'],['1.135089562622079e+18'],[],"['1.135086609798488e+18', '1.135089562622079e+18']",['1.135089562622079e+18'],['2019-06-02 07:43:35'],2019-06-02 07:43:35,11.733333333333333
253,2019-06-02 07:32:06,1.1350866754477344e+18,"('KLM', '56377143')",['1.1350866754477343e+18'],['1.135088870901592e+18'],[],"['1.1350866754477343e+18', '1.135088870901592e+18']",['1.135088870901592e+18'],['2019-06-02 07:40:50'],2019-06-02 07:40:50,8.733333333333333
255,2019-06-02 07:46:00,1.1350901707541504e+18,"('KLM', '56377143')",['1.1350901707541504e+18'],['1.1350913039082906e+18'],[],"['1.1350901707541504e+18', '1.1350913039082906e+18']",['1.1350913039082906e+18'],['2019-06-02 07:50:30'],2019-06-02 07:50:30,4.5
263,2019-06-02 10:20:46,1.135129121040806e+18,"('KLM', '56377143')",['1.1351291210408059e+18'],"['1.1351310642996552e+18', '1.135131193026986e+18', '1.1351312745810412e+18']",[],"['1.1351291210408059e+18', '1.1351310642996552e+18', '1.135131193026986e+18', '1.1351312745810412e+18']","['1.1351310642996552e+18', '1.1351312745810412e+18', '1.135131193026986e+18']","['2019-06-02 10:28:30', '2019-06-02 10:29:20', '2019-06-02 10:29:00']",2019-06-02 10:28:30,7.733333333333334
264,2019-06-02 12:11:54,1.1351570866591868e+18,"('KLM', '56377143')",['1.1351570866591867e+18'],['1.1351590484022886e+18'],[],"['1.1351570866591867e+18', '1.1351590484022886e+18']",['1.1351590484022886e+18'],['2019-06-02 12:19:42'],2019-06-02 12:19:42,7.800000000000001
267,2019-06-02 14:14:01,1.1351878210508924e+18,"('KLM', '56377143')",['1.1351878210508923e+18'],['1.1351963285380628e+18'],[],"['1.1351878210508923e+18', '1.1351963285380628e+18']",['1.1351963285380628e+18'],['2019-06-02 14:47:50'],2019-06-02 14:47:50,33.81666666666667
270,2019-06-02 15:52:06,1.1352125008850002e+18,"('KLM', '56377143')",['1.1352125008850002e+18'],['1.135216962689278e+18'],[],"['1.1352125008850002e+18', '1.135216962689278e+18']",['1.135216962689278e+18'],['2019-06-02 16:09:49'],2019-06-02 16:09:49,17.716666666666665
271,2019-06-02 16:46:37,1.135226220860326e+18,"('KLM', '56377143')",['1.1352262208603259e+18'],['1.1352279594329252e+18'],[],"['1.1352262208603259e+18', '1.1352279594329252e+18']",['1.1352279594329252e+18'],['2019-06-02 16:53:31'],2019-06-02 16:53:31,6.9
